c this is a generated file
p cnf 4400 20000
-2139 321 -1014 -2252 0
3420 -600 -3969 -835 0
-282 4281 -2317 -428 0
-3543 2353 3858 4085 0
1796 4209 2915 -1256 0
-1365 -720 -3549 -3534 0
3333 -3581 467 924 0
3909 -261 353 3553 0
-3421 -1057 -2997 71 0
-981 2368 -4395 -1151 0
-3527 -1828 4339 -1051 0
-2896 -745 2923 -2107 0
-4053 -2299 3035 3040 0
-4213 -1372 -947 -1987 0
-4057 1413 -2926 247 0
-1122 -1525 -3517 -3361 0
2625 -3798 -774 -4192 0
-3133 -3377 798 -11 0
1068 -3543 -3229 1972 0
2892 -3106 -384 3375 0
-4295 858 2168 -3537 0
-387 -3928 -1338 680 0
-484 94 1565 1047 0
318 -1977 2073 -2189 0
-4395 3453 3018 3734 0
-2563 -2665 2375 2323 0
330 1277 3829 -3289 0
1462 4002 1937 -1866 0
-1520 -3175 -3328 -310 0
-3895 1816 3997 -2631 0
-415 1652 -4279 -3858 0
3983 -2260 1844 -539 0
-2556 -3784 -1475 -2310 0
-2343 -3983 4319 -2465 0
4299 -3119 -1476 -351 0
3361 1790 3586 -3444 0
-1460 1256 2114 2264 0
4067 404 -1390 3584 0
611 -4257 -4084 -1297 0
1065 -342 2392 3793 0
-140 4392 -2715 -863 0
-1877 3290 -4229 -2071 0
-1893 -2248 1754 3690 0
3448 -2779 1891 -3112 0
-2797 1748 -1329 -2374 0
-4115 1590 2870 264 0
699 696 -3795 4051 0
-642 -3668 -76 3768 0
-2716 -3822 1549 -143 0
1519 -3326 -4269 -1322 0
2546 -1525 2222 -3878 0
2071 -918 699 531 0
2901 -1292 -1732 -2640 0
-2592 2064 546 2705 0
1842 -4179 -1332 -3286 0
-4264 3833 -3124 2162 0
-3165 2150 1745 699 0
-2946 2727 4142 285 0
-3171 2688 1891 -2838 0
2098 4393 -4309 -1713 0
2439 1412 1860 2180 0
-1973 -954 -1144 -647 0
3854 -3871 2497 3618 0
238 -2 4373 -2041 0
2544 -355 1582 -53 0
1129 1373 3526 -1791 0
-485 -1090 -4296 -2212 0
-2301 2692 2148 -4011 0
-3110 -3954 1427 -3629 0
588 4100 -2681 -549 0
2569 -3719 -2462 3045 0
-4370 -2133 1337 -484 0
-1763 -1211 3968 774 0
-4204 -324 -389 -4134 0
4069 3736 -4034 3798 0
-1360 -2227 478 -3372 0
-1110 -3097 1168 3952 0
4173 189 -2990 3046 0
-3696 -4085 106 -944 0
2836 -1818 2459 1234 0
-681 -2122 2009 4142 0
370 1252 -3504 -1752 0
4396 4184 4342 3002 0
958 3073 -3408 690 0
1524 -2749 4328 -2916 0
-582 1181 -2029 -2599 0
-2350 2114 862 -4138 0
2748 -729 -1874 2362 0
2516 -2145 1974 -4241 0
-3619 -1 -3479 -1548 0
590 1592 -2828 -3548 0
-880 2932 -248 -801 0
-129 -419 -4128 -1156 0
1711 -988 -2230 -3775 0
2419 1745 3951 -2251 0
-1975 2345 -1089 2278 0
2310 -3455 -45 -2936 0
-2744 -18 668 355 0
-1028 1234 1528 -3377 0
-3569 -120 2444 -488 0
2761 2351 -2475 -3093 0
3252 -3217 62 -2873 0
1978 3364 -3396 3524 0
-2577 145 1824 -2099 0
-609 2678 1366 -1193 0
-3980 -695 3792 -2342 0
724 885 1215 -1302 0
1413 -496 -1533 -4069 0
932 3170 2402 -1990 0
2126 390 -2735 -714 0
2447 -3808 -976 -25 0
-74 3723 -2689 4209 0
334 -4338 1337 -1566 0
-3891 1733 -3225 -1772 0
3970 -1229 -2886 -1736 0
2634 1409 -4251 1877 0
228 -3994 -2775 -1040 0
-844 894 2127 -2416 0
698 -3112 1135 837 0
3475 187 -1136 -878 0
-2101 -1512 1188 -2075 0
3786 -896 3568 2784 0
-2332 3006 -3365 -569 0
-3111 -95 2536 -2947 0
-2215 139 658 1841 0
2025 -1119 -4191 -3835 0
3768 101 917 -2587 0
3294 -2732 2223 -3160 0
-4214 -2609 2424 961 0
3788 891 453 2018 0
-4185 408 -3077 -4102 0
-1539 3900 -81 -2532 0
-974 3473 3765 3566 0
-3573 -3540 1345 1015 0
-4078 334 101 1199 0
-4100 2179 -2341 -1050 0
-833 -4337 2852 123 0
-1118 1563 3969 -1406 0
1635 485 -372 -863 0
941 3175 -837 -845 0
-1395 2277 -1998 4134 0
-853 34 -2862 1558 0
317 -2667 2972 2853 0
-3039 -3849 1091 -1640 0
2556 -159 4320 4098 0
-2062 -670 -1704 641 0
-651 -2145 -845 -2974 0
-3866 3051 -1287 3933 0
3541 2383 2257 -3267 0
154 889 -1587 2143 0
-3805 3936 -2019 -2597 0
-2553 -2925 -3823 4093 0
2105 -1307 1269 4289 0
1285 -180 4139 -531 0
-3751 2740 1932 2987 0
2355 851 4208 -4278 0
-2745 813 -614 -609 0
-4086 -967 -220 -1482 0
1286 -1250 -4101 -3735 0
-2344 -2041 269 -2356 0
-2085 -1813 -2972 3150 0
3097 809 1254 -473 0
2274 -1895 -4225 344 0
-4250 -706 -2952 -525 0
4054 3391 795 -4052 0
4050 2886 3793 2475 0
519 4328 -2766 2693 0
-2912 1176 -2143 -252 0
1663 3788 -2888 535 0
1626 3089 -4192 -2566 0
-3338 -1141 2574 -4036 0
-2082 -2422 -1786 -2763 0
-2393 1859 3513 2052 0
611 2264 -2538 1442 0
3209 1907 -3974 -310 0
677 1363 2690 -593 0
1088 1037 -552 1552 0
2405 1515 1118 -3912 0
1308 -842 2368 -1875 0
-3398 -2390 1058 -2623 0
2221 91 -2993 2474 0
3270 1418 1769 -1607 0
2858 3584 3959 -4169 0
-894 -1968 366 3100 0
3910 -4012 20 2084 0
2894 -1886 -3824 -95 0
-3903 -2748 420 -415 0
1858 -3197 2348 -120 0
3144 4126 -2171 3415 0
333 3201 2334 2527 0
-227 1567 3053 2498 0
-688 1991 1150 3253 0
-3748 -3796 1438 -3483 0
2307 -835 3340 369 0
-1012 -2258 -3792 2497 0
